timestamp,experiment,phase,sample_index,target_lat,target_lon,target_alt,north_m,east_m,target_drift_m,vn,ve,vd,commanded_speed_mps,commanded_accel_mps2,profile,engine,route
2026-07-07T01:05:33.697689+00:00,E11_mission_decision_matrix,geofence_stealth_opt,1,37.56650062108632,126.97800078356053,20.0,0.069139329716018,0.06913932971601798,0.09766791906982868,0.138278659432036,0.13827865943203596,0.0,0.19555555555555557,0.39111111111111113,stealth-opt,gps-input,fc-direct-gps-input
2026-07-07T01:05:34.245002+00:00,E11_mission_decision_matrix,geofence_stealth_opt,2,37.5665024278829,126.97800306300938,20.0,0.27027192525352484,0.27027192525352484,0.3817927738780454,0.4022651910750137,0.4022651910750137,0.0,0.5688888888888889,0.7466666666666666,stealth-opt,gps-input,fc-direct-gps-input
2026-07-07T01:05:34.745201+00:00,E11_mission_decision_matrix,geofence_stealth_opt,3,37.56650533569616,126.97800673149737,20.0,0.5939696961967,0.5939696961966999,0.8390562050758851,0.6473955418863504,0.6473955418863502,0.0,0.9155555555555558,0.6933333333333337,stealth-opt,gps-input,fc-direct-gps-input
2026-07-07T01:05:35.245362+00:00,E11_mission_decision_matrix,geofence_stealth_opt,4,37.56650925983248,126.97801168217534,20.0,1.0308045521297227,1.0308045521297227,1.4561398491939337,0.8736697118660453,0.8736697118660455,0.0,1.2355555555555555,0.6399999999999997,stealth-opt,gps-input,fc-direct-gps-input
2026-07-07T01:05:35.748666+00:00,E11_mission_decision_matrix,geofence_stealth_opt,5,37.566514115598295,126.97801780819411,20.0,1.5713484026367726,1.5713484026367721,2.2197253438262674,1.0810877010140998,1.081087701014099,0.0,1.528888888888889,0.5866666666666668,stealth-opt,gps-input,fc-direct-gps-input
2026-07-07T01:05:36.298554+00:00,E11_mission_decision_matrix,geofence_stealth_opt,6,37.56651981830001,126.97802500270453,20.0,2.206173157302029,2.2061731573020285,3.1164943228190873,1.2696495093305127,1.2696495093305127,0.0,1.7955555555555565,0.5333333333333352,stealth-opt,gps-input,fc-direct-gps-input
2026-07-07T01:05:36.847235+00:00,E11_mission_decision_matrix,geofence_stealth_opt,7,37.56652628324403,126.97803315885744,20.0,2.92585072570967,2.9258507257096698,4.133128421957413,1.4393551368152826,1.4393551368152826,0.0,2.0355555555555545,0.4799999999999958,stealth-opt,gps-input,fc-direct-gps-input
2026-07-07T01:05:37.397162+00:00,E11_mission_decision_matrix,geofence_stealth_opt,8,37.56653342573677,126.97804216980366,20.0,3.7209530174438776,3.720953017443877,5.256309273811689,1.5902045834684149,1.5902045834684149,0.0,2.2488888888888905,0.4266666666666727,stealth-opt,gps-input,fc-direct-gps-input
2026-07-07T01:05:37.947532+00:00,E11_mission_decision_matrix,geofence_stealth_opt,9,37.566541161084636,126.97805192869403,20.0,4.582051942088827,4.582051942088826,6.472718514907989,1.7221978492898993,1.7221978492898984,0.0,2.4355555555555504,0.3733333333333195,stealth-opt,gps-input,fc-direct-gps-input
2026-07-07T01:05:38.497525+00:00,E11_mission_decision_matrix,geofence_stealth_opt,10,37.56654910110868,126.97806194580322,20.0,5.465935418572012,5.465935418572011,7.721313701615038,1.7677669529663689,1.7677669529663689,0.0,2.5,0.1288888888888992,stealth-opt,gps-input,fc-direct-gps-input
