timestamp,experiment,phase,sample_index,target_lat,target_lon,target_alt,north_m,east_m,target_drift_m,vn,ve,vd,commanded_speed_mps,commanded_accel_mps2,profile,engine,route
2026-07-06T22:40:52.770136+00:00,E9_auto_waypoint_reach,linear,1,37.56650635201923,126.97800801368734,20.0,0.7071067811865476,0.7071067811865475,0.9988764305990786,1.4142135623730951,1.414213562373095,0.0,2.0,4.0,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:53.319123+00:00,E9_auto_waypoint_reach,linear,2,37.566512704038466,126.9780160273747,20.0,1.4142135623730951,1.414213562373095,1.997752818609409,1.4142135623730951,1.414213562373095,0.0,2.0,0.0,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:53.826550+00:00,E9_auto_waypoint_reach,linear,3,37.5665190560577,126.97802404106206,20.0,2.121320343559643,2.1213203435596424,2.9966291649166483,1.4142135623730954,1.414213562373095,0.0,2.0,4.440892098500626e-16,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:54.368785+00:00,E9_auto_waypoint_reach,linear,4,37.566525408076934,126.9780320547494,20.0,2.8284271247461903,2.82842712474619,3.9955054677494575,1.414213562373095,1.414213562373095,0.0,1.9999999999999998,8.881784197001252e-16,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:54.917163+00:00,E9_auto_waypoint_reach,linear,5,37.56653176009617,126.97804006843675,20.0,3.5355339059327378,3.5355339059327373,4.994381727993494,1.414213562373095,1.414213562373095,0.0,1.9999999999999998,0.0,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:55.424337+00:00,E9_auto_waypoint_reach,linear,6,37.5665381121154,126.9780480821241,20.0,4.242640687119286,4.242640687119285,5.993257945648749,1.4142135623730958,1.414213562373095,0.0,2.0000000000000004,1.7763568394002505e-15,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:55.972096+00:00,E9_auto_waypoint_reach,linear,7,37.56654446413464,126.97805609581145,20.0,4.949747468305833,4.949747468305832,6.992134120715214,1.414213562373094,1.414213562373094,0.0,1.9999999999999984,3.972054645195637e-15,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:56.520661+00:00,E9_auto_waypoint_reach,linear,8,37.56655081615387,126.9780641094988,20.0,5.656854249492381,5.65685424949238,7.991010253192881,1.4142135623730958,1.4142135623730958,0.0,2.000000000000001,5.0242958677880805e-15,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:57.021068+00:00,E9_auto_waypoint_reach,linear,9,37.566557168173105,126.97807212318617,20.0,6.3639610306789285,6.363961030678928,8.989886343967408,1.4142135623730958,1.4142135623730958,0.0,2.000000000000001,0.0,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:57.528967+00:00,E9_auto_waypoint_reach,linear,10,37.56656352019235,126.97808013687352,20.0,7.0710678118654755,7.071067811865475,9.988762391826127,1.414213562373094,1.414213562373094,0.0,1.9999999999999984,5.0242958677880805e-15,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:58.065428+00:00,E9_auto_waypoint_reach,linear,11,37.56656987221158,126.97808815056086,20.0,7.778174593052023,7.778174593052022,10.987638396537346,1.4142135623730958,1.414213562373094,0.0,1.9999999999999998,3.552713678800501e-15,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:58.571328+00:00,E9_auto_waypoint_reach,linear,12,37.566576224230815,126.97809616424821,20.0,8.485281374238571,8.48528137423857,11.986514358659738,1.4142135623730958,1.4142135623730958,0.0,2.000000000000001,3.552713678800501e-15,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:59.114239+00:00,E9_auto_waypoint_reach,linear,13,37.56658257625005,126.97810417793556,20.0,9.19238815542512,9.192388155425117,12.985390278193282,1.4142135623730958,1.4142135623730958,0.0,2.000000000000001,0.0,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:40:59.622748+00:00,E9_auto_waypoint_reach,linear,14,37.56658892826928,126.97811219162291,20.0,9.899494936611665,9.899494936611664,13.984266155137986,1.4142135623730923,1.4142135623730923,0.0,1.999999999999996,1.0048591735576161e-14,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:00.171139+00:00,E9_auto_waypoint_reach,linear,15,37.56659528028852,126.97812020531028,20.0,10.606601717798213,10.606601717798211,14.983141990379494,1.4142135623730958,1.4142135623730958,0.0,2.000000000000001,1.0048591735576161e-14,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:00.719457+00:00,E9_auto_waypoint_reach,linear,16,37.56660163230775,126.97812821899763,20.0,11.313708498984761,11.31370849898476,15.982017782146468,1.4142135623730958,1.4142135623730958,0.0,2.000000000000001,0.0,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:01.220449+00:00,E9_auto_waypoint_reach,linear,17,37.566607984326986,126.97813623268497,20.0,12.020815280171309,12.020815280171307,16.980893531324575,1.4142135623730958,1.4142135623730958,0.0,2.000000000000001,0.0,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:01.721436+00:00,E9_auto_waypoint_reach,linear,18,37.56661433634622,126.97814424637232,20.0,12.727922061357857,12.727922061357855,17.979769237913793,1.4142135623730958,1.4142135623730958,0.0,2.000000000000001,0.0,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:02.223463+00:00,E9_auto_waypoint_reach,linear,19,37.566620688365454,126.97815226005967,20.0,13.435028842544403,13.435028842544401,18.978644901914127,1.4142135623730923,1.4142135623730923,0.0,1.999999999999996,1.0048591735576161e-14,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:02.770051+00:00,E9_auto_waypoint_reach,linear,20,37.56662704038469,126.97816027374702,20.0,14.142135623730951,14.14213562373095,19.97752052332556,1.4142135623730958,1.4142135623730958,0.0,2.000000000000001,1.0048591735576161e-14,linear,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:38.037934+00:00,E9_auto_waypoint_reach,ekf_smooth,1,37.56650092104279,126.97800116198466,20.0,0.10253048327204942,0.10253048327204939,0.14483708548479263,0.20506096654409883,0.20506096654409878,0.0,0.29000000000000004,0.5800000000000001,ekf-smooth,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:38.578670+00:00,E9_auto_waypoint_reach,ekf_smooth,2,37.56650355713077,126.9780044876649,20.0,0.39597979746446665,0.3959797974644666,0.5593708063186627,0.5868986283848345,0.5868986283848344,0.0,0.8300000000000001,1.0799999999999998,ekf-smooth,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:39.084484+00:00,E9_auto_waypoint_reach,ekf_smooth,3,37.56650771770337,126.97800973663013,20.0,0.8591347391416552,0.8591347391416551,1.2136348578057414,0.926309883354377,0.9263098833543769,0.0,1.3099999999999996,0.9599999999999991,ekf-smooth,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:39.628413+00:00,E9_auto_waypoint_reach,ekf_smooth,4,37.56651321220001,126.97801666846969,20.0,1.4707821048680194,1.4707821048680192,2.0776629287200565,1.2232947314527285,1.2232947314527283,0.0,1.7300000000000018,0.8400000000000041,ekf-smooth,gps-input,fc-direct-auto-waypoint
2026-07-06T22:41:40.176916+00:00,E9_auto_waypoint_reach,ekf_smooth,5,37.566519850060104,126.97802504277297,20.0,2.209708691207961,2.2097086912079607,3.121488704697864,1.4778531726798834,1.477853172679883,0.0,2.0899999999999985,0.7199999999999933,ekf-smooth,gps-input,fc-direct-auto-waypoint
