mode,step,spoof_step_m,cum_drift_m,window_net_m,abs_drift_m,detecting,state,action
NEW,21,0.222,18.0,20.0,16.6,1,ATTACK,SWITCH
NEW,22,0.222,18.2,18.6,16.9,1,ATTACK,SWITCH
NEW,23,0.222,18.5,17.2,17.2,1,ATTACK,SWITCH
NEW,24,0.222,18.7,15.7,17.5,1,ATTACK,SWITCH
NEW,25,0.222,18.9,14.0,17.7,1,ATTACK,SWITCH
NEW,26,0.222,19.1,12.3,18.0,1,ATTACK,SWITCH
NEW,27,0.222,19.3,10.5,18.3,1,ATTACK,SWITCH
NEW,28,0.222,19.6,8.6,18.6,1,ATTACK,SWITCH
NEW,29,0.222,19.8,6.6,18.9,1,ATTACK,SWITCH
NEW,30,0.222,20.0,5.7,19.2,1,ATTACK,SWITCH
NEW,31,0.222,20.2,5.4,19.4,1,ATTACK,SWITCH
NEW,32,0.222,20.5,5.4,19.7,1,ATTACK,SWITCH
NEW,33,0.222,20.7,5.4,20.0,1,ATTACK,SWITCH
NEW,34,0.222,20.9,5.4,20.3,1,ATTACK,SWITCH
NEW,35,0.222,21.1,5.4,20.6,1,ATTACK,SWITCH
NEW,36,0.222,21.3,5.4,20.9,1,ATTACK,SWITCH
NEW,37,0.222,21.6,5.4,21.2,1,ATTACK,SWITCH
NEW,38,0.222,21.8,5.4,21.4,1,ATTACK,SWITCH
NEW,39,0.222,22.0,5.4,21.7,1,ATTACK,SWITCH
NEW,40,0.222,22.2,5.4,22.0,1,ATTACK,SWITCH
NEW,41,0.222,22.5,5.4,22.3,1,ATTACK,SWITCH
NEW,42,0.222,22.7,5.4,22.6,1,ATTACK,SWITCH
NEW,43,0.222,22.9,5.4,22.9,1,ATTACK,SWITCH
NEW,44,0.222,23.1,5.4,23.1,1,ATTACK,SWITCH
NEW,45,0.222,23.3,5.4,23.4,1,ATTACK,SWITCH
NEW,46,0.222,23.6,5.4,23.7,1,ATTACK,SWITCH
NEW,47,0.222,23.8,5.4,24.0,1,ATTACK,SWITCH
NEW,48,0.222,24.0,5.4,24.3,1,ATTACK,SWITCH
NEW,49,0.222,24.2,5.4,24.6,1,ATTACK,SWITCH
NEW,50,0.222,24.5,5.4,24.8,1,ATTACK,SWITCH
NEW,51,0.222,24.7,5.4,25.1,1,ATTACK,SWITCH
NEW,52,0.222,24.9,5.4,25.4,1,ATTACK,SWITCH
NEW,53,0.222,25.1,5.4,25.7,1,ATTACK,SWITCH
NEW,54,0.222,25.3,5.4,26.0,1,ATTACK,SWITCH
NEW,55,0.222,25.6,5.4,26.3,1,ATTACK,SWITCH
NEW,56,0.222,25.8,5.4,26.5,1,ATTACK,SWITCH
NEW,57,0.222,26.0,5.4,26.8,1,ATTACK,SWITCH
NEW,58,0.222,26.2,5.4,27.1,1,ATTACK,SWITCH
NEW,59,0.222,26.5,5.4,27.4,1,ATTACK,SWITCH
NEW,60,0.222,26.7,5.4,27.7,1,ATTACK,SWITCH
NEW,61,0.222,26.9,5.4,28.0,1,ATTACK,SWITCH
NEW,62,0.222,27.1,5.4,28.2,1,ATTACK,SWITCH
NEW,63,0.222,27.3,5.4,28.5,1,ATTACK,SWITCH
NEW,64,0.222,27.6,5.4,28.8,1,ATTACK,SWITCH
NEW,65,0.222,27.8,5.4,29.1,1,ATTACK,SWITCH
NEW,66,0.222,28.0,5.4,29.4,1,ATTACK,SWITCH
NEW,67,0.222,28.2,5.4,29.7,1,ATTACK,SWITCH
NEW,68,0.222,28.5,5.4,29.9,1,ATTACK,SWITCH
NEW,69,0.222,28.7,5.4,30.2,1,ATTACK,SWITCH
NEW,70,0.222,28.9,5.4,30.5,1,ATTACK,SWITCH
NEW,71,0.222,29.1,5.4,30.8,1,ATTACK,SWITCH
NEW,72,0.222,29.3,5.4,31.1,1,ATTACK,SWITCH
NEW,73,0.222,29.6,5.4,31.4,1,ATTACK,SWITCH
NEW,74,0.222,29.8,5.4,31.7,1,ATTACK,SWITCH
NEW,75,0.222,30.0,5.4,31.9,1,ATTACK,SWITCH
NEW,76,0.222,30.2,5.4,32.2,1,ATTACK,SWITCH
NEW,77,0.222,30.4,5.4,32.5,1,ATTACK,SWITCH
NEW,78,0.222,30.7,5.4,32.8,1,ATTACK,SWITCH
NEW,79,0.222,30.9,5.4,33.1,1,ATTACK,SWITCH
NEW,80,0.222,31.1,5.4,33.4,1,ATTACK,SWITCH
