step,spoof_step_m,cum_drift_m,window_net_m,divergence_m,real_lat,real_lon,perc_lat,perc_lon,detecting,action,adapt
62,0.87,48.9,14.1,62.4,37.5665019,126.9780004,37.566941,126.978441,0,PASS,가속
63,0.914,49.9,14.8,63.6,37.5664998,126.9780023,37.5669492,126.9784492,0,PASS,가속
64,0.959,50.8,15.6,64.8,37.5665015,126.9780011,37.5669579,126.9784579,1,SWITCH,가속
65,0.48,51.3,15.7,65.3,37.5665029,126.9780009,37.5669622,126.9784622,1,SWITCH,백오프
66,0.24,51.5,15.4,66.1,37.5664981,126.9779989,37.5669643,126.9784643,1,SWITCH,백오프
67,0.222,51.8,15.2,66.3,37.5664984,126.9780006,37.5669663,126.9784663,1,SWITCH,백오프
68,0.222,52.0,14.9,67.0,37.5664968,126.9779945,37.5669683,126.9784683,0,PASS,백오프
69,0.233,52.2,14.5,66.9,37.5665003,126.977996,37.5669704,126.9784704,0,PASS,가속
70,0.245,52.5,14.2,67.5,37.5664941,126.9780011,37.5669726,126.9784726,0,PASS,가속
71,0.257,52.7,13.8,67.5,37.5664979,126.9780015,37.566975,126.978475,0,PASS,가속
72,0.27,53.0,13.5,68.1,37.5664984,126.9779966,37.5669774,126.9784774,0,PASS,가속
73,0.283,53.3,13.1,68.5,37.5664963,126.9779985,37.5669799,126.9784799,0,PASS,가속
74,0.298,53.6,12.7,68.7,37.5664992,126.9779975,37.5669826,126.9784826,0,PASS,가속
75,0.312,53.9,12.2,69.2,37.5664992,126.9779954,37.5669854,126.9784854,0,PASS,가속
76,0.328,54.2,11.8,69.6,37.5665,126.9779946,37.5669884,126.9784884,0,PASS,가속
77,0.344,54.6,11.3,69.7,37.5664994,126.9780021,37.5669915,126.9784915,0,PASS,가속
78,0.362,54.9,10.8,69.6,37.5665033,126.9780051,37.5669948,126.9784948,0,PASS,가속
79,0.38,55.3,10.3,71.0,37.5664953,126.9780023,37.5669982,126.9784982,0,PASS,가속
80,0.399,55.7,9.7,70.7,37.5665036,126.9780029,37.5670018,126.9785018,0,PASS,가속
