method,TP,FP,TN,FN,precision,recall,F1,accuracy,MTTD_steps,missed_streams,total_attack_streams
OLD,540,0,820,240,1.000,0.692,0.818,0.850,4.6,3,12
NEW,641,0,820,139,1.000,0.822,0.902,0.913,11.6,0,12
