timestamp,experiment,payload,route,variant,verdict,reason,effect,preconditions,mission_impact,fc_impact,gcs_or_log_impact,observed_signal,bundle
2026-07-07T02:45:27.877870+00:00,E19_mode_command,mode-command,fc-direct,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:45:59.793188+00:00,E19_mode_command,mode-command,fc-direct,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:46:32.202893+00:00,E19_mode_command,mode-command,fc-direct,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:47:04.115836+00:00,E19_mode_command,mode-command,fc-direct,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
2026-07-07T02:47:38.546130+00:00,E19_mode_command,mode-command,mavproxy-udp,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:48:12.875998+00:00,E19_mode_command,mode-command,mavproxy-udp,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:48:47.604981+00:00,E19_mode_command,mode-command,mavproxy-udp,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:49:21.805188+00:00,E19_mode_command,mode-command,mavproxy-udp,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
2026-07-07T02:49:54.209401+00:00,E19_mode_command,mode-command,companion,RTL,pass,HEARTBEAT mode changed to RTL,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=RTL,
2026-07-07T02:50:26.121845+00:00,E19_mode_command,mode-command,companion,LAND,pass,HEARTBEAT mode changed to LAND,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LAND,
2026-07-07T02:50:58.034746+00:00,E19_mode_command,mode-command,companion,BRAKE,pass,HEARTBEAT mode changed to BRAKE,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=BRAKE,
2026-07-07T02:51:30.243921+00:00,E19_mode_command,mode-command,companion,LOITER,pass,HEARTBEAT mode changed to LOITER,direct flight-mode control,MAVLink write access; mode accepted by vehicle,immediate mode change,1,0,HEARTBEAT.mode=LOITER,
