payload,route,variant,impact_type,impact_confirmed,decision_signal,mode,mission_seq,parameter,before,after,notes
param-edit,fc-direct,FENCE_RADIUS,parameter-change,1,PARAM_VALUE readback,,,FENCE_RADIUS,10.0,12.0,confirmed
param-edit,fc-direct,FENCE_ACTION,parameter-change,1,PARAM_VALUE readback,,,FENCE_ACTION,0.0,1.0,confirmed
param-edit,fc-direct,FS_EKF_ACTION,parameter-change,1,PARAM_VALUE readback,,,FS_EKF_ACTION,0.0,1.0,confirmed
param-edit,fc-direct,WP_SPD,parameter-change,1,PARAM_VALUE readback,,,WP_SPD,2.5,4.0,confirmed
